2025-09-03 06:39:34.040 -04:00 [INF] ========================================================================================
2025-09-03 06:39:34.087 -04:00 [INF] Inicia el proceso para Rnc: 131254268
2025-09-03 06:39:34.090 -04:00 [INF] inicializar el browser
2025-09-03 06:39:38.131 -04:00 [INF] Busca los datos del RNC en la BD
2025-09-03 06:39:38.392 -04:00 [INF] Hace login
2025-09-03 06:39:54.728 -04:00 [INF] Espera por el Iframe que indica si hay mensajes por leer
2025-09-03 06:40:10.007 -04:00 [INF] TimeoutException: El iframe no fue encontrado dentro del tiempo esperado. Detalles: Timeout of 15000 ms exceeded
2025-09-03 06:40:10.011 -04:00 [INF] Busca el nombre de la compania (Razon Social) en la pagina
2025-09-03 06:40:12.419 -04:00 [INF] El nombre de la compania es DEVELOPMENT 088 SRL
2025-09-03 06:40:12.425 -04:00 [INF] Determina ultimo periodo declarado.
2025-09-03 06:40:14.202 -04:00 [INF] Id del link del formulario IT1: ctl00_ContentPlaceHolder1_dgResumenDoc_ctl06_HyperLink2, esto es para dar click y buscar el ultimo período reportado.
2025-09-03 06:40:38.369 -04:00 [INF] Delcaracion 606, periodo 202001
2025-09-03 06:40:41.130 -04:00 [WRN] El periodo 202001 ya se encuentra presentado para el 606, el mensaje obtenido de la DGII fue: Periodo digitado no válido. Este periodo ya se encuentra presentado
2025-09-03 06:40:41.132 -04:00 [INF] Delcaracion 607, periodo 202001
2025-09-03 06:40:44.387 -04:00 [INF] Delcaracion Anexo IT1, periodo 202001
2025-09-03 06:41:04.001 -04:00 [INF] Delcaracion IT1, periodo 202001
2025-09-03 06:41:24.891 -04:00 [INF] Delcaracion 606, periodo 202002
2025-09-03 06:41:30.560 -04:00 [INF] Delcaracion 607, periodo 202002
2025-09-03 06:41:34.011 -04:00 [INF] Delcaracion Anexo IT1, periodo 202002
2025-09-03 06:41:53.177 -04:00 [INF] Delcaracion IT1, periodo 202002
2025-09-03 06:42:13.969 -04:00 [INF] Delcaracion 606, periodo 202003
2025-09-03 06:42:20.350 -04:00 [INF] Delcaracion 607, periodo 202003
