2025-09-02 02:28:10.884 -04:00 [INF] ========================================================================================
2025-09-02 02:28:10.928 -04:00 [INF] Inicia el proceso para Rnc: 131254268
2025-09-02 02:28:10.930 -04:00 [INF] inicializar el browser
2025-09-02 02:28:17.045 -04:00 [INF] Busca los datos del RNC en la BD
2025-09-02 02:28:17.251 -04:00 [INF] Hace login
2025-09-02 02:28:22.468 -04:00 [INF] Espera por el Iframe que indica si hay mensajes por leer
2025-09-02 02:28:37.562 -04:00 [INF] TimeoutException: El iframe no fue encontrado dentro del tiempo esperado. Detalles: Timeout of 15000 ms exceeded
2025-09-02 02:28:37.566 -04:00 [INF] Busca el nombre de la compania (Razon Social) en la pagina
2025-09-02 02:28:38.966 -04:00 [INF] El nombre de la compania es DEVELOPMENT 088 SRL
2025-09-02 02:28:38.967 -04:00 [INF] Determina ultimo periodo declarado.
2025-09-02 02:28:40.518 -04:00 [INF] Id del link del formulario IT1: ctl00_ContentPlaceHolder1_dgResumenDoc_ctl06_HyperLink2, esto es para dar click y buscar el ultimo período reportado.
2025-09-02 02:41:08.405 -04:00 [INF] Delcaracion 606, periodo 201611
2025-09-02 02:41:14.038 -04:00 [INF] Delcaracion 607, periodo 201611
2025-09-02 02:41:17.144 -04:00 [INF] Delcaracion IT1, periodo 201611
2025-09-02 02:41:37.339 -04:00 [INF] Delcaracion 606, periodo 201612
2025-09-02 02:41:43.035 -04:00 [INF] Delcaracion 607, periodo 201612
2025-09-02 02:41:46.098 -04:00 [INF] Delcaracion IT1, periodo 201612
2025-09-02 02:42:05.928 -04:00 [INF] Delcaracion 606, periodo 201701
2025-09-02 02:42:11.584 -04:00 [INF] Delcaracion 607, periodo 201701
2025-09-02 02:42:14.761 -04:00 [INF] Delcaracion IT1, periodo 201701
2025-09-02 02:42:35.057 -04:00 [INF] Delcaracion 606, periodo 201702
2025-09-02 02:42:40.799 -04:00 [INF] Delcaracion 607, periodo 201702
2025-09-02 02:42:43.666 -04:00 [INF] Delcaracion IT1, periodo 201702
2025-09-02 02:43:03.459 -04:00 [INF] Delcaracion 606, periodo 201703
2025-09-02 02:43:09.053 -04:00 [INF] Delcaracion 607, periodo 201703
2025-09-02 02:43:11.879 -04:00 [INF] Delcaracion IT1, periodo 201703
2025-09-02 02:43:32.420 -04:00 [INF] Delcaracion 606, periodo 201704
2025-09-02 02:43:38.774 -04:00 [INF] Delcaracion 607, periodo 201704
2025-09-02 02:43:41.716 -04:00 [INF] Delcaracion IT1, periodo 201704
2025-09-02 02:44:01.696 -04:00 [INF] Delcaracion 606, periodo 201705
2025-09-02 02:44:07.357 -04:00 [INF] Delcaracion 607, periodo 201705
2025-09-02 02:44:10.378 -04:00 [INF] Delcaracion IT1, periodo 201705
2025-09-02 02:44:30.302 -04:00 [INF] Delcaracion 606, periodo 201706
2025-09-02 02:44:35.839 -04:00 [INF] Delcaracion 607, periodo 201706
2025-09-02 02:44:38.876 -04:00 [INF] Delcaracion IT1, periodo 201706
2025-09-02 02:45:05.642 -04:00 [INF] Delcaracion 606, periodo 201707
2025-09-02 02:45:16.247 -04:00 [INF] Delcaracion 607, periodo 201707
2025-09-02 02:45:19.144 -04:00 [INF] Delcaracion IT1, periodo 201707
2025-09-02 02:45:40.347 -04:00 [INF] Delcaracion 606, periodo 201708
2025-09-02 02:45:45.773 -04:00 [INF] Delcaracion 607, periodo 201708
2025-09-02 02:45:48.841 -04:00 [INF] Delcaracion IT1, periodo 201708
2025-09-02 02:46:09.037 -04:00 [INF] Delcaracion 606, periodo 201709
2025-09-02 02:46:14.627 -04:00 [INF] Delcaracion 607, periodo 201709
2025-09-02 02:46:17.488 -04:00 [INF] Delcaracion IT1, periodo 201709
2025-09-02 02:46:37.966 -04:00 [INF] Delcaracion 606, periodo 201710
2025-09-02 02:46:43.625 -04:00 [INF] Delcaracion 607, periodo 201710
2025-09-02 02:46:46.679 -04:00 [INF] Delcaracion IT1, periodo 201710
2025-09-02 02:47:07.742 -04:00 [INF] Delcaracion 606, periodo 201711
2025-09-02 02:47:13.324 -04:00 [INF] Delcaracion 607, periodo 201711
2025-09-02 02:47:16.420 -04:00 [INF] Delcaracion IT1, periodo 201711
2025-09-02 02:47:36.767 -04:00 [INF] Delcaracion 606, periodo 201712
2025-09-02 02:47:42.473 -04:00 [INF] Delcaracion 607, periodo 201712
